scenario,population,total_land_sold,treasury_revenue,hum_velocity,gini_land,pct_zero_land,median_land,top_1pct_land,top_5pct_land,top_10pct_land,social_can_build_pct,casual_can_build_pct
"Model A - Fixed Supply (2M), Fixed Price",100000,227114,2274342.2,1071510.0,0.6877,39.26,1.0,8.53,31.02,48.81,,
"Model B - Fixed Supply (2M), Cap 5, Bonding",100000,152959,1723830.33,1065125.0,0.6289,45.25,1.0,3.27,16.34,32.69,,
"Model C - Ratio Supply (0.5), Cap 10, Bonding",100000,45358,739532.65,1061804.0,0.7961,72.19,0.0,9.5,35.66,57.7,,
"Sensitivity - Ratio 1.5, Cap 10, Bonding",100000,131988,2223480.23,1058969.0,0.7274,53.35,0.0,7.58,32.2,50.81,,
"Sensitivity - Ratio 2.0, Cap 10, Bonding",100000,172918,2896874.56,1059578.0,0.693,45.92,1.0,5.78,28.92,48.69,,
30-Day Economy - New Casual Building Affordability,100000,87580,1503795.25,1317811.0,0.7604,62.3,0.0,9.14,33.42,52.86,99.05,0.0
"Sensitivity - Ratio 0.25, Cap 10, Bonding",100000,22703,344804.88,1063848.0,0.848,81.9,0.0,10.82,42.28,64.3,,
"Sensitivity - Ratio 1.0, Cap 10, Bonding",100000,89559,1502172.17,1060172.0,0.7534,61.21,0.0,8.94,32.8,51.94,,
"WLD Volatility - Ratio 0.5, Cap 10 (High Volatility)",100000,45358,739532.65,1061804.0,0.7961,72.19,0.0,9.5,35.66,57.7,,
Whale Stress Test - 5% Whales,100000,46060,727474.16,1023169.0,0.7992,72.54,0.0,8.78,35.92,57.94,,
Inactivity Stress Test - 50% Inactive,100000,21931,370072.61,533359.0,0.9036,86.8,0.0,17.63,59.76,85.41,,
Faucet/Sink - +100% Faucet,100000,45359,739532.65,2130632.0,0.7961,72.18,0.0,9.5,35.66,57.7,,
HUM Variants - WLD Only (No HUM Sink),100000,48731,733776.02,1071775.0,0.7737,69.31,0.0,8.83,33.44,53.97,,
"Model A - Fixed Supply (2M), Fixed Price",500000,1130098,11316974.8,5330135.0,0.6887,39.42,1.0,8.57,31.14,48.97,,
"Model B - Fixed Supply (2M), Cap 5, Bonding",500000,731174,10048793.7,5302193.0,0.6292,45.33,1.0,3.42,17.1,34.19,,
"Model C - Ratio Supply (0.5), Cap 10, Bonding",500000,226561,3700140.73,5292139.0,0.7974,72.33,0.0,9.53,35.83,57.9,,
